La Valliere, Louis Cesar de la Baume Le Blanc, duc de	211
Laruelle	212
Olschki	216
Firmin-Didot	218
Leopold I	218
Leighton	220
Riccardi	224
Pius Vi 224
Uffenbach	226
Pius Ix	230
Ebner	230
Waldbott-Bassenheim, Hugo, Graf von	231
Bibliotheque municipale de Lyon	233
Padua, Basilica di Sant'Antonio	242
Riccardi Family	242
Drury, Henry	243
Milan, Biblioteca ambrosiana	247
Meerman, Johan	248
Meerman, Gerard	251
Harvard University	252
Quaritch, Bernard	253
Fitzwilliam	256
Pocock	261
Bibliotheque Nationale de France	263
Bigot Family	264
Reichskartause Buxheim	266
Clarke	281
Cambridge University	282
Techener	287
Rawlinson	287
University of Chicago	294
Old Royal Library	305
Martin	333
Douce	335
Howard, Thomas, Earl of Arundel	337
Paulmy, Antoine-Rene d'Argenson, marquis de	339
Askew	340
Ashburnham, Bertram, 4th Earl of Ashburnham	348
Staatliche Bibliothek Bamberg	349
Drury	363
Bibliotheque de Carpentras	366
Yale University	373
Meerman	375
Puttick & Simpson	376
Sotheby's	391
Maggs	393
Heber, Richard	402
Rodd, Thomas	409
Les Enluminures	433
Heber	442
Baluze	446
Walters	451
Padua, Monastery of Saint John de Viridario	467
Vatican Library	486
Saibanti And Canonici	487
Huntington Library	515
Parker, Matthew	523
Morgan, J. Pierpont	529
Bibliotheque municipale de Besancon	531
Madrid, Biblioteca nacional	533
Saibanti/Canonici	545
Augustus Frederick, Prince, Duke of Sussex	556
Cardinal Bessarion	557
King's Library	562
Bibliotheque de l?Arsenal	575
Payne	593
Phillipps	594
Venezia, Biblioteca nazionale marciana	621
Cambridge, Parker Library (Corpus Christi College)	673
de Menars	675
De Thou	685
Ess, Leander van	719
Universitaetsbibliothek Leipzig	730
Cotton, Robert, Sir	743
Colbert	747
Celotti, Luigi	802
Bibliotheque municipale de Reims	803
College de Clermont	821
Riccardi family	829
Payne and Foss	881
Biblioteca apostolica vaticana	884
Leiden University Library	944
Harley, Robert, Earl of Oxford	958
North, Frederick, 5th Earl of Guilford	966
Colbert, Jean Baptiste	995
Libri, Guillaume	1019
Harley, Edward, Earl of Oxford	1195
Harley, Henrietta Cavendish Holles, Countess of Oxford	1198
Bentinck, Margaret Cavendish Holles Harley, Duchess of Portland	1199
Bibliotheque du roi	1296
Thorpe, Thomas	1332
Ashburnham	1429
Morgan Library, New York	1445
Rodd	1781
Quaritch	1952
Bibliotheque royale de Belgique	2328
Thorpe	2529
Bibliotheque nationale de France	2667
British Library	3285
Phillipps, Thomas, Sir	8090
